#1k0	rpm	2k0	rpm	3k0	rpm	4k0	rpm	5k0	rpm	6k0	rpm
3750.468	10046	3753.655	10026	3757.704	10034	3775.743	10016	3775.901	10006	3788.362	10013
3780.611	10047	3783.843	10032	3787.914	10029	3806.014	10001	3806.124	10016	3818.583	10022
3810.773	10039	3814.051	10024	3818.117	10028	3836.298	9996.4	3836.361	10017	3848.791	10021
3840.932	10042	3844.26	10024	3848.309	10026	3866.536	10011	3866.601	10014	3879.013	10022
3871.073	10048	3874.438	10035	3878.497	10032	3896.839	9999.3	3896.824	10019	3909.246	10018
3901.236	10039	3904.632	10029	3908.722	10024	3927.153	9989.1	3927.017	10029	3939.483	10019
3931.415	10034	3934.835	10027	3938.945	10016	3957.477	9987.1	3957.256	10014	3969.694	10029
3961.579	10038	3965.048	10028	3969.135	10026	3987.771	9995.6	3987.514	10012	3999.937	10018
3991.744	10044	3995.245	10034	3999.333	10028	4018.056	9996.2	4017.757	10019	4030.173	10017
4021.919	10032	4025.437	10029	4029.538	10021	4048.34	10003	4047.967	10028	4060.382	10024
4052.114	10029	4055.65	10029	4059.745	10024	4078.613	10008	4078.207	10013	4090.585	10029
4082.286	10038	4085.829	10035	4089.934	10032	4108.85	10014	4108.507	9994.2	4120.791	10024
4112.481	10035	4116.001	10038	4120.129	10029	4139.122	10008	4138.786	10003	4151.042	10012
4142.684	10027	4146.193	10026	4150.332	10029	4169.391	10007	4169.059	10005	4181.278	10018
4172.906	10016	4176.391	10028	4180.527	10029	4199.631	10014	4199.325	10007	4211.471	10029
4203.147	10019	4206.586	10033	4210.691	10036	4229.872	10016	4229.613	10004	4241.698	10022
4233.338	10029	4236.766	10039	4240.897	10021	4260.146	10008	4259.877	10007	4271.937	10014
4263.541	10027	4266.953	10033	4271.107	10024	4290.425	10003	4290.134	10014	4302.175	10011
4293.776	10011	4297.163	10029	4301.327	10022	4320.692	10007	4320.402	10001	4332.38	10021
4324.032	10014	4327.342	10031	4331.518	10026	4350.928	10017	4350.697	9997.4	4362.621	10019
4354.258	10023	4357.509	10043	4361.724	10027	4381.201	10009	4380.969	10009	4392.861	10014
4384.51	10011	4387.686	10035	4391.931	10024	4411.485	9996	4411.22	10011	4423.098	10018
4414.782	10009	4417.898	10029	4422.111	10024	4441.763	10004	4441.502	10001	4453.305	10021
4445.017	10017	4448.085	10033	4452.346	10017	4471.995	10018	4471.799	9996.6	4483.546	10019
4475.25	10018	4478.246	10042	4482.54	10029	4502.269	10008	4502.05	10011	4513.764	10022
4505.506	10009	4508.417	10038	4512.745	10021	4532.536	10001	4532.259	10011	4543.983	10023
4535.784	10004	4538.608	10032	4542.953	10024	4562.801	10009	4562.559	9994.2	4574.175	10032
4566.037	10006	4568.782	10037	4573.142	10032	4593.028	10023	4592.822	10009	4604.383	10024
4596.273	10017	4598.949	10044	4603.354	10029	4623.267	10011	4623.069	10012	4634.608	10019
4626.545	10009	4629.113	10039	4633.559	10021	4653.54	10009	4653.312	10018	4664.834	10024
4656.824	10005	4659.321	10024	4663.768	10021	4683.775	10018	4683.576	10008	4695.061	10024
4687.062	10011	4689.5	10034	4693.965	10035	4713.984	10024	4713.83	10005	4725.267	10027
4717.285	10019	4719.697	10035	4724.158	10029	4744.231	10013	4744.087	10014	4755.473	10024
4747.519	10018	4749.848	10035	4754.361	10029	4774.518	10004	4774.313	10024	4785.701	10024
4777.767	10012	4780.087	10014	4784.565	10029	4804.806	10000	4804.555	10018	4815.881	10035
4808	10018	4810.282	10034	4814.738	10038	4835.031	10016	4834.811	10005	4846.072	10026
4838.226	10023	4840.443	10040	4844.936	10028	4865.287	10014	4865.083	10005	4876.274	10028
4868.482	10013	4870.625	10033	4875.147	10029	4895.565	10003	4895.289	10024	4906.467	10033
4898.738	10009	4900.816	10026	4905.338	10032	4925.808	10013	4925.547	10013	4936.646	10037
4928.962	10019	4930.991	10031	4935.525	10034	4956.062	10006	4955.836	10004	4966.834	10033
4959.165	10021	4961.152	10037	4965.715	10026	4986.345	9996.3	4986.098	10008	4997.062	10023
4989.422	10013	4991.331	10035	4995.932	10023	5016.613	10006	5016.332	10018	5027.284	10016
5019.66	10017	5021.542	10029	5026.124	10029	5046.885	10009	5046.586	10006	5057.486	10027
5049.871	10028	5051.716	10031	5056.287	10040	5077.123	10014	5076.873	10000	5087.712	10023
5080.068	10034	5081.911	10035	5086.491	10027	5107.422	9996.7	5107.11	10017	5117.946	10017
5110.272	10021	5112.105	10029	5116.697	10027	5137.721	9994.2	5137.337	10023	5148.149	10027
5140.489	10023	5142.293	10033	5146.885	10033	5168.019	9997.4	5167.571	10017	5178.34	10032
5170.697	10024	5172.481	10033	5177.081	10031	5198.293	10009	5197.829	10012	5208.552	10028
5200.89	10026	5202.644	10036	5207.268	10034	5228.597	9999.3	5228.068	10014	5238.793	10019
5231.097	10021	5232.833	10036	5237.474	10027	5258.895	9996.6	5258.301	10019	5269.004	10028
5261.332	10018	5263.007	10032	5267.669	10026	5289.197	9996.1	5288.557	10009	5299.2	10035
5291.542	10024	5293.194	10033	5297.841	10038	5319.46	10008	5318.822	10008	5329.39	10032
5321.731	10032	5323.341	10045	5328.036	10035	5349.756	9991.2	5349.074	10011	5359.608	10022
5351.948	10023	5353.517	10031	5358.243	10024	5380.071	9989.1	5379.316	10019	5389.815	10024
5382.169	10016	5383.713	10034	5388.43	10032	5410.383	9991.8	5409.565	10012	5420.01	10026
5412.373	10021	5413.891	10031	5418.611	10039	5440.664	10002	5439.833	10001	5450.237	10023
5442.564	10029	5444.038	10041	5448.824	10028	5470.976	9985.8	5470.096	10009	5480.478	10014
5472.769	10027	5474.218	10039	5479.031	10028	5501.303	9980.9	5500.321	10019	5510.696	10022
5502.995	10024	5504.392	10032	5509.229	10036	5531.62	9994.2	5530.56	10014	5540.888	10026
5533.203	10024	5534.571	10034	5539.394	10045	5561.924	9999.3	5560.842	10002	5571.099	10029
5563.399	10034	5564.732	10040	5569.573	10035	5592.223	9994.2	5591.126	9995.7	5601.339	10014
5593.592	10029	5594.919	10033	5599.765	10032	5622.539	9987.6	5621.365	10014	5631.58	10016
5623.757	10029	5625.13	10029	5629.944	10035	5652.864	9987.8	5651.63	10007	5661.791	10029
5653.981	10019	5655.318	10033	5660.106	10040	5683.167	9995.6	5681.919	10004	5691.997	10027
5684.144	10039	5685.482	10038	5690.318	10029	5713.466	9994.2	5712.174	10005	5722.216	10022
5714.331	10032	5715.674	10029	5720.542	10016	5743.738	9994.2	5742.437	10010	5752.425	10021
5744.526	10029	5745.868	10026	5750.748	10027	5774.065	9984.1	5772.695	10013	5782.615	10032
5774.687	10040	5776.06	10026	5780.922	10038	5804.343	10004	5802.963	10001	5812.823	10024
5804.86	10032	5806.235	10031	5811.133	10029	5834.622	10003	5833.217	10006	5843.047	10016
5835.049	10033	5836.424	10026	5841.343	10024	5864.925	9999.3	5863.459	10019	5873.265	10023
5865.238	10033	5866.633	10024	5871.552	10024	5895.189	10009	5893.707	10012	5903.456	10032
5895.41	10038	5896.826	10029	5901.745	10029	5925.439	10012	5923.98	10008	5933.66	10027
5925.567	10042	5926.999	10038	5931.958	10028	5955.722	9996.3	5954.219	10014	5963.878	10022
5955.738	10038	5957.191	10029	5962.186	10023	5986.02	9990.7	5984.442	10019	5994.085	10024
5985.934	10034	5987.404	10021	5992.399	10028	6016.284	10008	6014.677	10017	6024.296	10029
6016.107	10038	6017.627	10016	6022.587	10033	6046.557	10009	6044.917	10014	6054.522	10023
6046.269	10040	6047.82	10029	6052.79	10027	6076.86	9998.5	6075.154	10011	6084.762	10010
6076.457	10033	6078.03	10023	6083.031	10019	6107.159	9994.2	6105.362	10024	6114.971	10024
6106.649	10026	6108.273	10018	6113.239	10024	6137.44	10001	6135.603	10019	6145.174	10027
6136.827	10035	6138.513	10014	6143.441	10028	6167.726	9995.6	6165.837	10018	6175.383	10024
6166.986	10042	6168.74	10022	6173.659	10023	6198.022	9997.7	6196.055	10022	6205.619	10017
6197.165	10035	6198.997	10013	6203.902	10019	6228.316	9999.3	6226.266	10029	6235.828	10024
6227.376	10029	6229.278	10002	6234.121	10022	6258.597	10002	6256.524	10013	6266.023	10029
6257.581	10028	6259.531	10006	6264.308	10034	6288.877	10004	6286.78	10014	6296.19	10029
6287.747	10043	6289.764	10018	6294.497	10034	6319.158	10002	6317.027	10013	6326.463	10008
6317.928	10038	6320.004	10014	6324.686	10033	6349.46	9997.7	6347.234	10021	6356.666	10021
6348.114	10033	6350.251	10013	6354.881	10035	6379.731	10001	6377.484	10011	6386.875	10024
6378.291	10032	6380.483	10018	6385.093	10028	6409.994	10009	6407.74	10013	6417.092	10024
6408.457	10043	6410.69	10024	6415.316	10016	6440.213	10009	6437.973	10018	6447.312	10021
6438.619	10040	6440.926	10011	6445.563	10014	6470.529	9987.2	6468.198	10016	6477.536	10022
6468.805	10033	6471.18	10006	6475.783	10022	6500.829	9990.6	6498.418	10022	6507.729	10026
6498.985	10038	6501.437	10013	6505.992	10021	6531.118	10001	6528.636	10023	6537.937	10024
6529.134	10044	6531.659	10016	6536.218	10024	6561.397	10003	6558.86	10019	6568.172	10017
