#1k0	rpm	2k0	rpm	3k0	rpm	4k0	rpm	5k0	rpm	6k0	rpm	7k0	rpm	8k0	rpm	9k0	rpm	10k0	rpm	11k0	rpm	12k0	rpm	13k0	rpm	14k0	rpm	15k0	rpm	16k0	rpm	20k0	rpm	25k0	rpm	30k0	rpm	35k0	rpm	40k0	rpm	45k0	rpm	50k0	rpm	55k0	rpm	60k0	rpm	65k0	rpm
1046.337	10373	1041.692	10371	1043.571	10387	1043.476	10382	1040.966	10387	1034.758	10367	1038.493	10394	1042.123	10376	1039.026	10377	1038.054	10390	1039.982	10383	1044.361	10378	1037.383	10392	1035.874	10406	1037.747	10386	1034.228	10427	1039.806	10412	1033.772	10394	1038.175	10414	1037.608	10406	1039.055	10417	1035.445	10405	1044.828	10443	1037.239	10432	1036.996	10450	1037.733	10475
1075.397	10420	1070.773	10408	1072.569	10443	1072.508	10425	1070.016	10423	1063.817	10421	1067.515	10439	1071.146	10438	1068.078	10427	1067.043	10445	1069.015	10425	1073.414	10428	1066.374	10450	1064.862	10445	1066.77	10438	1063.165	10465	1068.788	10448	1062.77	10443	1067.127	10459	1066.555	10466	1067.985	10472	1064.406	10460	1073.711	10484	1066.107	10489	1065.867	10495	1066.517	10521
1104.324	10467	1099.749	10456	1101.433	10492	1101.465	10452	1099.005	10441	1092.755	10466	1096.376	10495	1100.089	10458	1097.025	10466	1095.914	10488	1097.972	10452	1102.335	10472	1095.274	10484	1093.742	10480	1095.685	10478	1092.003	10506	1097.636	10498	1091.653	10484	1095.996	10495	1095.347	10514	1096.808	10512	1093.238	10503	1102.451	10539	1094.799	10557	1094.599	10546	1095.199	10554
1133.194	10495	1128.603	10500	1130.237	10516	1130.326	10493	1127.88	10488	1121.64	10489	1125.164	10521	1128.926	10501	1125.835	10512	1124.713	10517	1126.825	10500	1131.156	10503	1124.098	10512	1122.551	10517	1124.484	10517	1120.732	10543	1126.38	10531	1120.46	10517	1124.758	10534	1124.087	10539	1125.553	10531	1122.015	10529	1131.106	10574	1123.422	10576	1123.216	10583	1123.76	10599
1161.999	10512	1157.418	10512	1158.975	10540	1159.098	10527	1156.681	10516	1150.454	10512	1153.932	10525	1157.713	10521	1154.629	10523	1153.423	10549	1155.618	10519	1159.929	10527	1152.855	10532	1151.277	10543	1153.217	10546	1149.394	10568	1155.093	10548	1149.208	10539	1153.442	10553	1152.764	10562	1154.216	10566	1150.701	10559	1159.717	10591	1152.01	10594	1151.791	10600	1152.244	10628
1190.792	10523	1186.209	10521	1187.692	10548	1187.844	10537	1185.467	10523	1179.228	10526	1182.64	10551	1186.429	10551	1183.392	10530	1182.078	10568	1184.366	10540	1188.682	10534	1181.551	10555	1179.985	10551	1181.916	10554	1178.027	10579	1183.772	10560	1177.946	10540	1182.104	10567	1181.391	10587	1182.806	10594	1179.311	10591	1188.292	10601	1180.558	10614	1180.336	10611	1180.717	10643
1219.517	10543	1214.952	10538	1216.345	10571	1216.606	10531	1214.246	10529	1207.94	10550	1211.336	10556	1215.138	10551	1212.109	10551	1210.724	10574	1213.112	10537	1217.39	10551	1210.238	10559	1208.678	10557	1210.582	10566	1206.645	10585	1212.41	10571	1206.615	10559	1210.754	10571	1209.947	10607	1211.381	10600	1207.901	10594	1216.836	10612	1209.074	10622	1208.854	10625	1209.139	10643
1248.265	10540	1243.66	10551	1245.017	10564	1245.321	10548	1242.974	10543	1236.679	10540	1240.014	10563	1243.831	10557	1240.766	10568	1239.366	10579	1241.808	10555	1246.058	10565	1238.917	10562	1237.328	10571	1239.183	10590	1235.235	10594	1241.032	10583	1235.261	10573	1239.358	10588	1238.507	10607	1239.951	10602	1236.486	10596	1245.356	10625	1237.571	10629	1237.323	10640	1237.603	10641
1277.023	10531	1272.407	10537	1273.682	10568	1274.014	10557	1271.697	10546	1265.378	10540	1268.73	10554	1272.511	10561	1269.459	10557	1267.999	10580	1270.51	10553	1274.752	10557	1267.598	10562	1265.982	10571	1267.832	10573	1263.805	10602	1269.67	10577	1263.912	10573	1267.954	10591	1267.07	10606	1268.495	10611	1265.05	10608	1273.851	10631	1266.08	10625	1265.808	10634	1265.993	10670
1305.815	10519	1301.185	10531	1302.36	10563	1302.726	10551	1300.438	10539	1294.153	10526	1297.445	10549	1301.206	10557	1298.169	10551	1296.606	10582	1299.208	10555	1303.452	10555	1296.285	10559	1294.675	10557	1296.479	10574	1292.41	10589	1298.34	10568	1292.628	10548	1296.57	10585	1295.629	10606	1297.024	10617	1293.606	10608	1302.378	10619	1294.589	10625	1294.327	10622	1294.42	10656
1334.598	10522	1329.955	10529	1331.063	10553	1331.487	10531	1329.222	10523	1322.891	10540	1326.169	10546	1329.92	10549	1326.898	10543	1325.275	10559	1327.946	10540	1332.147	10557	1324.995	10550	1323.383	10551	1325.141	10568	1321.057	10574	1327.034	10557	1321.321	10556	1325.225	10570	1324.186	10610	1325.589	10608	1322.18	10600	1330.928	10614	1323.085	10630	1322.824	10629	1322.853	10653
1363.436	10496	1358.729	10529	1359.801	10540	1360.281	10519	1358.027	10515	1351.699	10514	1354.961	10520	1358.704	10523	1355.637	10540	1353.992	10548	1356.704	10532	1360.878	10548	1353.774	10529	1352.126	10538	1353.809	10566	1349.664	10574	1355.715	10560	1350.032	10551	1353.889	10566	1352.802	10585	1354.177	10595	1350.817	10577	1359.493	10608	1351.635	10614	1351.336	10624	1351.31	10644
1392.335	10484	1387.567	10503	1388.609	10520	1389.055	10527	1386.845	10510	1380.53	10506	1383.813	10492	1387.493	10520	1384.42	10523	1382.716	10545	1385.472	10532	1389.663	10523	1382.549	10527	1380.872	10538	1382.517	10551	1378.382	10547	1384.471	10533	1378.815	10523	1382.573	10553	1381.44	10577	1382.784	10588	1379.469	10571	1388.097	10589	1380.238	10589	1379.902	10602	1379.764	10646
1421.257	10471	1416.478	10476	1417.427	10511	1417.891	10497	1415.726	10486	1409.38	10499	1412.711	10475	1416.299	10508	1413.256	10503	1411.473	10532	1414.296	10512	1418.477	10511	1411.365	10511	1409.677	10514	1411.325	10513	1407.109	10545	1413.291	10503	1407.67	10501	1411.313	10539	1410.118	10562	1411.42	10577	1408.157	10563	1416.781	10553	1408.859	10583	1408.503	10591	1408.291	10618
1450.225	10453	1445.421	10464	1446.289	10495	1446.785	10482	1444.678	10461	1438.27	10484	1441.654	10465	1445.174	10488	1442.131	10489	1440.313	10506	1443.202	10478	1447.362	10489	1440.258	10483	1438.567	10484	1440.181	10501	1435.932	10512	1442.155	10492	1436.548	10488	1440.108	10517	1438.826	10551	1440.104	10554	1436.9	10530	1445.515	10540	1437.523	10566	1437.153	10573	1436.881	10588
