#1k0	rpm	2k0	rpm	3k0	rpm	4k0	rpm	5k0	rpm	6k0	rpm	7k0	rpm	8k0	rpm	9k0	rpm	10k0	rpm	11k0	rpm	12k0	rpm	13k0	rpm	14k0	rpm	15k0	rpm	16k0	rpm	20k0	rpm	25k0	rpm	30k0	rpm	35k0	rpm	40k0	rpm	45k0	rpm	50k0	rpm	55k0	rpm	60k0	rpm	65k0	rpm
3724.848	9993.3	3722.832	9973.9	3726.103	9953.1	3723.166	9963.8	3720.638	9979	3711.097	9978.8	3717.728	9979	3719.017	9973.6	3718.633	9955.1	3711.614	9994.2	3713.313	9958.8	3722.054	9968.9	3710.419	10002	3711.205	9993.1	3711.094	10013	3706.958	9987.3	3715.512	9976.4	3703.342	10012	3707.06	9994.1	3702.767	9989	3703.58	10013	3702.58	9991.2	3707.833	10007	3701.658	10012	3701.107	10014	3696.433	10029
3755.115	10004	3753.163	9982	3756.523	9955.1	3753.54	9968.1	3750.98	9978.5	3741.409	9989.1	3748.053	9980.6	3749.394	9966.3	3749.022	9962.1	3741.923	9989.1	3743.745	9947.7	3752.413	9972.2	3740.702	9999.3	3741.534	9983.7	3741.318	10017	3737.306	9982.1	3745.877	9973.9	3733.576	10011	3737.358	9993.7	3733.063	9994.2	3733.864	9998.1	3732.881	9986.1	3738.07	10014	3731.879	10019	3731.311	10026	3726.626	10029
3785.417	9994.2	3783.495	9983.7	3786.947	9956.5	3783.933	9960.8	3781.343	9970.8	3771.757	9982.3	3778.395	9979	3779.77	9960.9	3779.4	9961	3772.273	9981.9	3774.181	9946.6	3782.776	9970.9	3770.986	9998.1	3771.848	9988.1	3771.509	10027	3767.632	9981	3776.202	9984.1	3763.779	10024	3767.66	9997.4	3763.322	9994.2	3764.149	9998.2	3763.245	9970.6	3768.293	10019	3762.113	10014	3761.513	10021	3756.824	10026
3815.736	9985.4	3813.824	9984.1	3817.367	9952	3814.29	9973.6	3811.651	9989.1	3802.111	9973.9	3808.739	9978	3810.144	9967	3809.774	9967.5	3802.588	9986.6	3804.586	9956.4	3813.118	9977	3801.275	10001	3802.166	9991.8	3801.719	10022	3797.929	9994.2	3806.548	9970.6	3794.013	10010	3797.949	10001	3793.663	9979	3794.436	10001	3793.571	9984.1	3798.533	10012	3792.353	10012	3791.725	10021	3786.997	10035
3846.031	9993.6	3844.174	9975.6	3847.788	9952.3	3844.66	9968.9	3841.991	9979	3832.458	9976.3	3839.084	9977.1	3840.508	9970.8	3840.164	9961.5	3832.883	9994.2	3835.016	9948.7	3843.488	9968.2	3831.53	10009	3832.48	9986.6	3831.94	10018	3828.229	9993.3	3836.904	9973.1	3824.249	10013	3828.234	9999.3	3823.982	9992.6	3824.689	10009	3823.868	9993.7	3828.77	10013	3822.574	10019	3821.927	10024	3817.19	10028
3876.296	10004	3874.503	9983.8	3878.192	9958.8	3875.018	9972.9	3872.365	9967.8	3862.8	9979	3869.409	9980.7	3870.869	9971.8	3870.556	9962	3863.182	9993.3	3865.503	9933.7	3873.853	9970.3	3861.814	9999.3	3862.81	9976.1	3862.143	10024	3858.539	9989.1	3867.243	9979	3854.489	10013	3858.517	9999.3	3854.251	10005	3854.973	9999.3	3854.177	9989.1	3859.006	10014	3852.78	10023	3852.115	10029	3847.384	10027
3906.595	9992.6	3904.828	9981	3908.6	9956.8	3905.358	9979	3902.738	9968.9	3893.145	9977	3899.75	9979	3901.241	9968.1	3900.927	9968.9	3893.491	9989.1	3895.983	9933.5	3904.203	9975.6	3892.092	10002	3893.14	9982.8	3892.317	10034	3888.863	9984	3897.578	9981.1	3884.707	10016	3888.801	9995.6	3884.569	9986	3885.222	9999.3	3884.505	9983.5	3889.224	10016	3883.013	10011	3882.257	10045	3877.576	10028
3936.914	9985.6	3935.184	9973.9	3939.011	9950.3	3935.669	9988.3	3933.087	9975.7	3923.523	9966.3	3930.111	9971.7	3931.602	9971.7	3931.305	9966.2	3923.81	9985.6	3926.419	9946.3	3934.548	9977.1	3922.371	9995.9	3923.435	9994.2	3922.496	10026	3919.158	9994.2	3927.917	9979	3914.931	10018	3919.073	10007	3914.879	9989.1	3915.515	9990.9	3914.818	9988.4	3919.461	10014	3913.254	10012	3912.432	10035	3907.749	10035
3967.261	9982.9	3965.519	9973.9	3969.429	9953.8	3965.997	9983.5	3963.45	9976.4	3953.868	9976.8	3960.473	9972.5	3961.93	9983.6	3961.697	9961	3954.093	9999.3	3956.869	9942.7	3964.936	9963.8	3952.611	10012	3953.745	9989.1	3952.705	10022	3949.458	9992.8	3958.263	9970.8	3945.189	10012	3949.358	9997.6	3945.177	9993.9	3945.758	10006	3945.113	9994.2	3949.701	10012	3943.49	10014	3942.627	10033	3937.951	10024
3997.557	9993.5	3995.906	9963.8	3999.819	9962.8	3996.327	9983.4	3993.821	9968.9	3984.218	9981.8	3990.822	9975.9	3992.261	9982.1	3992.084	9963.8	3984.379	9996.9	3987.322	9940.9	3995.293	9973.5	3982.89	10002	3984.086	9977.9	3982.948	10011	3979.774	9986.8	3988.609	9976.7	3975.414	10018	3979.652	9994.2	3975.443	10004	3976.06	9997.6	3975.422	9989.1	3979.94	10013	3973.698	10022	3972.788	10039	3968.183	10010
4027.906	9976	4026.236	9983.5	4030.225	9957.5	4026.656	9985.4	4024.176	9973.9	4014.576	9972.9	4021.165	9978.4	4022.608	9970.8	4022.424	9979	4014.68	9986.2	4017.754	9948.7	4025.635	9978	4013.174	9999.3	4014.415	9983.8	4013.201	10009	4010.084	9989.1	4018.935	9984.1	4005.634	10019	4009.936	9998.1	4005.737	9994.2	4006.341	9995.8	4005.749	9983.2	4010.147	10022	4003.93	10017	4002.932	10044	3998.39	10023
4058.25	9977.7	4056.586	9981.8	4060.665	9945.3	4056.936	9998	4054.501	9984.1	4044.933	9973.9	4051.528	9970.4	4052.932	9984.1	4052.802	9960.6	4045.005	9980.5	4048.169	9953.6	4055.989	9973.9	4043.452	10002	4044.717	9997.4	4043.471	10003	4040.379	9991.2	4049.275	9979	4035.875	10018	4040.204	10004	4036.035	9995.5	4036.608	10004	4036.076	9984.1	4040.417	10004	4034.17	10012	4033.088	10040	4028.58	10028
4088.596	9977.5	4086.944	9973.4	4091.084	9952.7	4087.256	9985.7	4084.844	9978.2	4075.272	9975.5	4081.889	9972.3	4083.249	9986.5	4083.193	9962.2	4075.29	9999.3	4078.589	9952	4086.336	9976.3	4073.72	10003	4075.041	9984.1	4073.79	9985.7	4070.679	9993.4	4079.618	9977.7	4066.133	10011	4070.501	9993.1	4066.324	10002	4066.843	10004	4066.377	9992.3	4070.651	10014	4064.418	10011	4063.277	10029	4058.784	10021
4118.908	9988.3	4117.293	9981.9	4121.49	9958.3	4117.566	9988.7	4115.194	9973.6	4105.597	9980.5	4112.2	9988.6	4113.578	9983.1	4113.581	9963.8	4105.573	9998.5	4109.021	9947	4116.699	9971	4104.017	9994.2	4105.391	9981.3	4104.083	9994.2	4100.994	9987.5	4109.949	9982.3	4096.374	10017	4100.8	9993.3	4096.596	10007	4097.155	9987.5	4096.701	9980.6	4100.887	10014	4094.625	10022	4093.419	10045	4089.033	10006
4149.258	9975.4	4147.611	9992.2	4151.897	9958.1	4147.894	9983.5	4145.554	9971.3	4135.94	9979	4142.527	9983.9	4143.924	9971	4143.929	9981.6	4135.872	9993.5	4139.469	9941.7	4147.049	9975.8	4134.301	9999.3	4135.701	9989.1	4134.4	9985.7	4131.294	9992.8	4140.281	9986.6	4126.607	10016	4131.104	9996.8	4126.864	10003	4127.457	9997.4	4127.031	9976	4131.093	10022	4124.895	10004	4123.564	10044	4119.237	10024
4179.634	9966.6	4177.936	9980.9	4182.305	9956.2	4178.178	9997.6	4175.91	9973.8	4166.319	9965.6	4172.87	9977	4174.267	9976.9	4174.288	9971.5	4166.169	9994.1	4169.886	9952.5	4177.413	9970.2	4164.57	10002	4165.999	9993.3	4164.74	9979	4161.561	10003	4170.606	9984.1	4156.829	10019	4161.391	10002	4157.163	9993.3	4157.744	10002	4157.346	9986.6	4161.331	10013	4155.128	10014	4153.708	10045	4149.447	10022
4210.027	9966.1	4208.278	9979	4212.711	9958.1	4208.473	9993.9	4206.273	9970.4	4196.675	9973.9	4203.229	9972.1	4204.579	9987.8	4204.674	9963.8	4196.44	10002	4200.317	9948.7	4207.769	9973.5	4194.854	9999.2	4196.298	9992.2	4195.081	9978.1	4191.872	9988.2	4200.953	9976.7	4187.078	10006	4191.685	9994.2	4187.429	10004	4187.996	10008	4187.645	9992.5	4191.589	10012	4185.365	10015	4183.888	10038	4179.664	10022
4240.407	9971.3	4238.624	9977	4243.105	9966.1	4238.798	9980.6	4236.682	9955.6	4227.016	9979	4233.557	9983.4	4234.909	9982.4	4235.045	9968.9	4226.749	9989.1	4230.753	9947.9	4238.111	9978.2	4225.122	10004	4226.612	9988.1	4225.44	9971.7	4222.22	9982.2	4231.281	9983.6	4217.319	10018	4222.002	9985.7	4217.685	10008	4218.274	9996	4217.954	9989.1	4221.83	10018	4215.578	10024	4214.034	10044	4209.916	10009
4270.8	9960.7	4268.956	9982.8	4273.507	9958.8	4269.116	9991.7	4267.061	9965.7	4257.378	9971.4	4263.905	9981.9	4265.248	9979	4265.392	9976.4	4257.068	9991.7	4261.176	9951.5	4268.44	9983.2	4255.422	9993.6	4256.924	9988.9	4255.819	9965.3	4252.553	9986.8	4261.592	9988.6	4247.527	10022	4252.3	9993.1	4247.944	10007	4248.531	9996	4248.278	9980.6	4252.042	10024	4245.831	10009	4244.185	10047	4240.135	10019
4301.224	9956.1	4299.303	9976.2	4303.933	9953.7	4299.398	9999.3	4297.389	9983.8	4287.749	9968.3	4294.249	9977.4	4295.591	9976.5	4295.739	9971	4287.363	9991.3	4291.582	9956.5	4298.772	9982.8	4285.7	10002	4287.209	9997.9	4286.22	9958.8	4282.849	9990.7	4291.916	9984.1	4277.783	10012	4282.584	9998.3	4278.233	9996.4	4278.829	9993.1	4278.603	9980.6	4282.265	10018	4276.069	10013	4274.332	10044	4270.329	10027
4331.643	9952.8	4329.675	9968.1	4334.352	9953.8	4329.692	9994.2	4327.754	9973.9	4318.106	9973.9	4324.593	9978.6	4325.916	9984.1	4326.11	9968.9	4317.647	9999.1	4322.004	9951.4	4329.136	9970.4	4315.969	10003	4317.518	9989.1	4316.625	9956.6	4313.168	9992.3	4322.258	9977.9	4308.039	10007	4312.881	9992.9	4308.486	10009	4309.087	10006	4308.898	9991.1	4312.484	10019	4306.304	10014	4304.503	10037	4300.553	10018
4362.046	9958.8	4360.034	9972.8	4364.74	9963.8	4360.005	9987.4	4358.141	9963.8	4348.419	9988.7	4354.909	9986.7	4356.266	9973.9	4356.454	9976.8	4347.93	9999.3	4352.468	9936.2	4359.482	9976.8	4346.254	9998.3	4347.831	9987.4	4347.04	9953.8	4343.499	9983.4	4352.583	9984.1	4338.277	10013	4343.206	9980.9	4338.75	10007	4339.368	9995.6	4339.207	9989.1	4342.679	10027	4336.524	10016	4334.661	10036	4330.792	10012
4392.494	9943.7	4390.384	9981.8	4395.143	9958.8	4390.344	9979	4388.521	9971.1	4378.767	9982.9	4385.259	9975.7	4386.609	9977.1	4386.781	9983.8	4378.224	9990.5	4382.954	9930.6	4389.807	9980.6	4376.548	9994.2	4378.145	9987.9	4377.459	9951.6	4373.847	9976.1	4382.895	9988.5	4368.519	10011	4373.518	9988.5	4369.015	10004	4369.637	10004	4369.541	9980.7	4372.856	10034	4366.757	10017	4364.813	10042	4361.039	10011
4422.945	9942.1	4420.726	9977.8	4425.583	9945.6	4420.654	9989.1	4418.878	9973.9	4409.117	9976	4415.616	9973.9	4416.951	9978.4	4417.109	9983.8	4408.509	9997.1	4413.386	9948.1	4420.136	9983.4	4406.832	9999.3	4408.438	9996.8	4407.912	9938.6	4404.161	9987.8	4413.209	9988.4	4398.773	10008	4403.829	9989.1	4399.317	9997.7	4399.919	9999.3	4399.85	9989.1	4403.046	10029	4396.999	10011	4394.971	10036	4391.259	10019
4453.377	9947.4	4451.096	9965.7	4455.999	9953.8	4451.002	9975.9	4449.248	9968.9	4439.456	9981.6	4445.947	9982	4447.275	9984.1	4447.449	9978.9	4438.777	10003	4443.84	9938.6	4450.479	9977.5	4437.099	10004	4438.733	9994	4438.375	9938.2	4434.491	9983.9	4443.533	9981.2	4429.042	10004	4434.143	9987.8	4429.582	10004	4430.172	10008	4430.15	9995.5	4433.239	10028	4427.224	10018	4425.152	10037	4421.491	10017
4483.793	9953.8	4481.437	9981.4	4486.408	9961.7	4481.366	9976.2	4479.657	9955.7	4469.768	9988.8	4476.295	9982.8	4477.618	9977.5	4477.774	9984.1	4469.071	9994.2	4474.336	9927	4480.804	9984	4467.402	9996.6	4469.067	9980.7	4468.845	9935.8	4464.821	9984.1	4473.858	9980.6	4459.314	10008	4464.459	9986.3	4459.854	10007	4460.469	9994.2	4460.469	9991.6	4463.426	10026	4457.411	10029	4455.309	10040	4451.78	10002
4514.224	9948.5	4511.753	9987	4516.813	9957.9	4511.696	9982.4	4510.049	9961.5	4500.109	9979	4506.643	9982.7	4507.972	9973.9	4508.087	9987.4	4499.37	9993.7	4504.858	9918.4	4511.115	9988.4	4497.697	9994.2	4499.381	9988.1	4499.286	9945.5	4495.169	9983.4	4504.144	9997.4	4489.556	10017	4494.793	9981	4490.157	9997.7	4490.755	9997.6	4490.799	9982.2	4493.597	10031	4487.578	10029	4485.452	10045	4482.018	10013
4544.671	9943.7	4542.094	9979	4547.23	9953.4	4542.009	9987.9	4540.422	9968.9	4530.48	9968.9	4536.984	9978.9	4538.306	9980.9	4538.445	9972	4529.654	9998.5	4535.368	9923.4	4541.439	9980.6	4527.981	9999.3	4529.68	9993	4529.733	9943.7	4525.466	9993.8	4534.443	9992.1	4519.821	10001	4525.11	9992.3	4520.459	9998.8	4521.04	9999.3	4521.13	9983.1	4523.801	10024	4517.81	10011	4515.61	10040	4512.253	10014
4575.103	9948.7	4572.453	9972.3	4577.65	9953.8	4572.341	9982.2	4570.796	9968	4560.84	9972.4	4567.333	9975.8	4568.616	9989.2	4568.824	9965.6	4559.919	10001	4565.893	9917.5	4571.786	9982.3	4558.254	10008	4559.998	9986.1	4560.2	9936	4555.768	9986.2	4564.767	9980.9	4550.093	10007	4555.42	9988.2	4550.722	10001	4551.309	10004	4551.43	9993.4	4554.003	10024	4548.001	10028	4545.786	10036	4542.505	10009
4605.521	9953.8	4602.799	9977.5	4608.027	9967	4602.699	9972.9	4601.189	9955.5	4591.19	9981.5	4597.648	9987.3	4598.929	9987.4	4599.17	9976.3	4590.213	9994.2	4596.417	9918.6	4602.11	9980.6	4588.557	9996.7	4590.327	9982.5	4590.686	9930.7	4586.097	9983.8	4595.067	9992.2	4580.345	10009	4585.761	9977.5	4580.978	10008	4581.606	9993.3	4581.754	9980.8	4584.215	10021	4578.161	10039	4575.931	10044	4572.778	10007
4635.953	9948.7	4633.112	9988.4	4638.42	9955.3	4633.039	9978.3	4631.579	9962.3	4621.533	9978	4628.005	9975.3	4629.264	9984	4629.5	9982.9	4620.511	9992.9	4626.917	9926.2	4632.404	9991.2	4618.852	9994.2	4620.638	9988.6	4621.138	9941.8	4616.406	9985.7	4625.362	9990.6	4610.586	10018	4616.11	9975.8	4611.266	10002	4611.902	9994.2	4612.08	9984.1	4614.41	10032	4608.358	10026	4606.074	10045	4603.026	10006
4666.391	9940.8	4663.444	9982.6	4668.838	9953.8	4663.364	9984.1	4661.935	9973.8	4651.891	9973	4658.369	9970.3	4659.594	9983.3	4659.84	9979	4650.795	9997.8	4657.381	9937	4662.715	9988.5	4649.137	9997.5	4650.935	9993.7	4651.623	9930.3	4646.685	10001	4655.671	9989.1	4640.836	10005	4646.404	9994.2	4641.555	10002	4642.205	9997.4	4642.383	9984.1	4644.599	10029	4638.552	10027	4636.234	10039	4633.269	10011
4696.829	9946.7	4693.787	9978.3	4699.255	9950.3	4693.708	9976.9	4692.307	9968.1	4682.256	9970.3	4688.716	9976.4	4689.89	9990.6	4690.186	9976.4	4681.074	10001	4687.873	9928.7	4693.039	9981.2	4679.4	10007	4681.244	9989.1	4682.08	9938.6	4676.97	9997.2	4686.006	9984.1	4671.089	10005	4676.715	9988.4	4671.828	10007	4672.475	10003	4672.722	9979	4674.795	10032	4668.714	10038	4666.412	10033	4663.541	10008
4727.246	9952.7	4724.15	9977.4	4729.645	9963.1	4724.055	9970.8	4722.708	9958.2	4712.585	9983.4	4719.046	9983.4	4720.185	9994.2	4720.533	9971.1	4711.368	9994.2	4718.356	9931.5	4723.354	9987.5	4709.684	9999.2	4711.593	9981.2	4712.546	9937.8	4707.287	9986.1	4716.322	9986.6	4701.325	10014	4707.044	9983	4702.066	10013	4702.81	9984	4703.047	9984.1	4704.984	10029	4698.856	10045	4696.569	10040	4693.828	10003
4757.694	9943.7	4754.477	9984.1	4760.054	9961.2	4754.394	9979	4753.113	9958.8	4742.917	9976.1	4749.411	9973.9	4750.493	9989	4750.865	9975.8	4741.641	9994.2	4748.857	9925.6	4753.65	9990.8	4739.986	9997.2	4741.919	9984.1	4742.995	9942.9	4737.587	9993	4746.616	9994.2	4731.545	10019	4737.355	9988.9	4732.335	10003	4733.119	9989.1	4733.378	9983.7	4735.14	10040	4729.029	10031	4726.719	10042	4724.083	10007
4788.145	9942.4	4784.821	9977.9	4790.471	9953.6	4784.737	9978.9	4783.469	9973.6	4773.292	9967.9	4779.758	9976.2	4780.805	9987.5	4781.221	9973.9	4771.971	9982.6	4779.307	9942.1	4783.946	9994.2	4770.284	9995.5	4772.229	9989.1	4773.464	9930	4767.855	10003	4776.926	9988.7	4761.788	10011	4767.654	9993.4	4762.605	10003	4763.414	9994.2	4763.678	9992.9	4765.362	10018	4759.206	10034	4756.876	10040	4754.317	10014
4818.636	9928.6	4815.185	9970.5	4820.878	9956.9	4815.092	9973.9	4813.839	9968.5	4803.633	9975.3	4810.112	9976.3	4811.089	9998.5	4811.585	9970.4	4802.254	9999.2	4809.793	9930.2	4814.26	9987.7	4800.538	10009	4802.553	9984.1	4803.949	9925.4	4798.149	9991.2	4807.26	9984	4792.042	10008	4797.954	9993.3	4792.873	10001	4793.681	10004	4793.965	10003	4795.586	10018	4789.378	10031	4787.038	10038	4784.572	10008
4849.097	9938.6	4845.543	9970.4	4851.274	9960.8	4845.469	9967.1	4844.235	9960.3	4833.981	9982.7	4840.439	9985.4	4841.385	9994.1	4841.941	9973.8	4832.54	9996.6	4840.259	9936.9	4844.571	9989.1	4830.842	9997.4	4832.894	9977.9	4834.433	9931.2	4828.458	9989.1	4837.608	9981.6	4822.283	10017	4828.278	9980.8	4823.122	10006	4823.975	9996.6	4824.264	9993.4	4825.804	10016	4819.525	10043	4817.185	10043	4814.846	10007
4879.575	9933.6	4875.873	9982.6	4881.678	9958.8	4875.849	9965.6	4874.623	9963.8	4864.323	9978.3	4870.769	9983.4	4871.703	9991.7	4872.265	9984.1	4862.834	9994.2	4870.708	9942.4	4874.867	9994.2	4861.137	9994.2	4863.242	9981.9	4864.899	9936.5	4858.767	9991.6	4867.941	9986.3	4852.504	10019	4858.576	9994.1	4853.389	10004	4854.278	9997.4	4854.581	9986.1	4856.016	10024	4849.698	10031	4847.312	10050	4845.1	10009
4910.077	9925	4906.215	9979	4912.095	9953.6	4906.213	9976.4	4904.967	9977.6	4894.693	9968.9	4901.148	9965.8	4902.002	9993.5	4902.606	9978	4893.107	9994.2	4901.145	9946.3	4905.171	9991.8	4891.421	9999.3	4893.55	9986.1	4895.384	9936.4	4889.071	9997.4	4898.285	9976.8	4882.738	10011	4888.859	9995.8	4883.672	9999.1	4884.563	9998.2	4884.891	9989.1	4886.251	10014	4879.873	10035	4877.455	10045	4875.342	10017
4940.592	9921.3	4936.572	9973.9	4942.513	9953.4	4936.559	9970.5	4935.325	9972.6	4925.04	9976.3	4931.502	9970.8	4932.282	9996.4	4932.962	9973.4	4923.426	9985.8	4931.592	9943.3	4935.481	9988.8	4921.694	10007	4923.898	9981.9	4925.847	9938.2	4919.372	9986.2	4928.655	9968.9	4913.008	10004	4919.148	9997.3	4913.938	10000	4914.819	10007	4915.176	9997.7	4916.5	10005	4910.055	10037	4907.631	10034	4905.615	10007
4971.056	9937.9	4966.911	9975.9	4972.899	9963.8	4966.931	9968.9	4965.705	9965.5	4955.379	9975.9	4961.848	9976.8	4962.577	9994.2	4963.304	9978.8	4953.711	9998.6	4962.057	9936.8	4965.79	9991.5	4951.997	9997.3	4954.227	9983.6	4956.309	9938.6	4949.716	9977.5	4959.009	9973.9	4943.266	10011	4949.467	9991.6	4944.186	10006	4945.123	9991.3	4945.478	9997.9	4946.734	10014	4940.199	10044	4937.772	10045	4935.903	10001
5001.518	9938.6	4997.22	9985.8	5003.319	9952.1	4997.27	9979	4996.061	9973.9	4985.718	9981.9	4992.19	9978.7	4992.878	9992.3	4993.616	9987.8	4983.996	9997.7	4992.529	9935.2	4996.088	9994.2	4982.293	9990.5	4984.544	9986.9	4986.76	9941.5	4980.026	9991.5	4989.334	9984.1	4973.491	10017	4979.761	9990.5	4974.471	9998.3	4975.418	9994.2	4975.797	9991.8	4976.967	10010	4970.356	10040	4967.892	10045	4966.171	10000
5031.94	9938.6	5027.547	9984.1	5033.752	9948.7	5027.601	9983	5026.372	9988.9	5016.073	9973.9	5022.553	9971	5023.195	9986.1	5023.955	9979	5014.262	10003	5022.964	9947.7	5026.387	9994.2	5012.56	10004	5014.848	9991.4	5017.268	9922.5	5010.312	9997	5019.699	9973.9	5003.727	10014	5010.031	10003	5004.738	10003	5005.705	10003	5006.094	9993.8	5007.22	10009	5000.532	10034	4998.081	10029	4996.407	10014
5062.439	9920.8	5057.903	9973.9	5064.169	9950.4	5057.949	9975.5	5056.714	9977.9	5046.405	9982	5052.909	9973.9	5053.488	9996.6	5054.33	9967.1	5044.529	10004	5053.41	9943.2	5056.706	9985.5	5042.832	10008	5045.168	9984.1	5047.795	9916.4	5040.611	9992.9	5050.056	9973.9	5033.99	10006	5040.35	9985.8	5034.972	10003	5035.96	10008	5036.376	9995.8	5037.491	10003	5030.706	10031	5028.227	10043	5026.678	10007
5092.894	9940.5	5088.243	9981.9	5094.561	9961.9	5088.296	9976.2	5087.09	9967.3	5076.74	9976	5083.224	9987	5083.774	9997.4	5084.695	9970.8	5074.817	9996	5083.873	9937.6	5087.015	9991.5	5073.102	10003	5075.507	9979	5078.339	9911.4	5070.924	9988.1	5080.395	9979	5064.224	10014	5070.669	9991.8	5065.258	9997.3	5066.247	10002	5066.67	9991.3	5067.779	10003	5060.848	10045	5058.402	10034	5056.947	10003
5123.346	9942.7	5118.569	9984	5124.977	9953.8	5118.66	9970.8	5117.444	9970.3	5107.082	9978.7	5113.57	9976.8	5114.094	9984.1	5115.034	9979	5105.1	9999.3	5114.32	9943.7	5117.299	9999.3	5103.386	9999.3	5105.849	9978.2	5108.891	9908.6	5101.235	9989.1	5110.727	9982.4	5094.456	10011	5100.962	9991	5095.513	10007	5096.53	9999.3	5096.98	9991.6	5098.014	10014	5091.024	10034	5088.546	10044	5087.197	10006
5153.763	9942.7	5148.914	9977.5	5155.417	9945.7	5148.985	9984.1	5147.785	9978.5	5137.447	9970.8	5143.926	9973.9	5144.433	9981.4	5145.378	9977.3	5135.368	10003	5144.746	9953.3	5147.594	9994.2	5133.635	10011	5136.181	9982.3	5139.406	9908.6	5131.538	9997	5141.07	9977.3	5124.71	10009	5131.245	9999.3	5125.781	10003	5126.798	10004	5127.281	9995.5	5128.288	10001	5121.214	10029	5118.717	10031	5117.437	10012
5184.243	9932.1	5179.274	9972.7	5185.857	9951.3	5179.345	9971.8	5178.14	9973.9	5167.803	9973.9	5174.255	9983.7	5174.743	9989.2	5175.735	9972.4	5165.641	10007	5175.181	9940.8	5177.904	9989.1	5163.859	10018	5166.522	9977.5	5170.015	9895	5161.855	9992.6	5171.426	9973.6	5154.974	10001	5161.531	9997.1	5156.047	10004	5157.053	10008	5157.568	10002	5158.577	10001	5151.381	10037	5148.896	10034	5147.705	10000
5214.675	9948.7	5209.636	9972.2	5216.267	9955.5	5209.733	9963.8	5208.503	9970.8	5198.113	9985.7	5204.57	9988.1	5205.071	9982.6	5206.098	9971.1	5195.929	10001	5205.653	9938.5	5208.237	9986.5	5194.097	10012	5196.869	9970.8	5200.54	9917	5192.172	9992	5201.772	9970.6	5185.248	10007	5191.84	9989.1	5186.299	10009	5187.355	9997.4	5187.885	9986.1	5188.857	10001	5181.537	10040	5179.06	10037	5177.974	10003
5245.141	9936.7	5239.982	9977.7	5246.684	9953.8	5240.106	9968.9	5238.844	9978.1	5228.444	9983.8	5234.925	9973.9	5235.428	9972.3	5236.446	9981.5	5226.213	9999.3	5236.099	9943.7	5238.521	9998	5224.386	10001	5227.213	9976.5	5231.071	9915.2	5222.473	9992.5	5232.121	9981.9	5215.484	10014	5222.149	9991.5	5216.566	10003	5217.651	9994.1	5218.198	9987.9	5219.109	10009	5211.744	10023	5209.203	10045	5208.243	10004
5275.607	9937.5	5270.339	9973.9	5277.107	9945.3	5270.446	9978.1	5269.171	9983.4	5258.79	9976.2	5265.268	9978.3	5265.785	9975.3	5266.785	9979	5256.477	10001	5266.54	9948.7	5268.839	9992.6	5254.622	10014	5257.547	9981.2	5261.624	9908.6	5252.769	9990.8	5262.462	9981.4	5245.753	10004	5252.438	10001	5246.861	9994.2	5247.936	9997.9	5248.516	9985.7	5249.392	9995.6	5241.952	10023	5239.379	10033	5238.479	10013
5306.068	9938.6	5300.719	9971.1	5307.546	9946.6	5300.811	9973.9	5299.519	9975.8	5289.155	9970.8	5295.614	9976.6	5296.127	9977.8	5297.14	9973.5	5286.741	10001	5296.995	9940.1	5299.149	9989.1	5284.863	10018	5287.888	9978.2	5292.163	9912.4	5283.065	9994.2	5292.805	9977	5276.032	9996.3	5282.747	9989.1	5277.132	10007	5278.225	9996.2	5278.81	9996.7	5279.677	9999.3	5272.164	10021	5269.568	10029	5268.767	10002
5336.501	9948.2	5331.081	9972.1	5337.949	9958.8	5331.175	9976.4	5329.863	9977	5319.471	9987.4	5325.94	9980.6	5326.517	9961.8	5327.499	9972.1	5317.025	9997.5	5327.444	9942.8	5329.462	9988.9	5315.101	10013	5318.242	9973.9	5322.701	9913.6	5313.376	9989.1	5323.151	9977.3	5306.303	10007	5313.063	9987.1	5307.385	10009	5308.52	9994.2	5309.104	9994.2	5309.945	10003	5302.355	10028	5299.742	10035	5299.056	10002
5366.963	9938.3	5361.445	9976.7	5368.37	9951.6	5361.524	9975.3	5360.21	9977.5	5349.815	9977.5	5356.269	9983.1	5356.905	9963.8	5357.842	9977.5	5347.308	9999.3	5357.867	9951.2	5359.741	9996.2	5345.35	10011	5348.591	9975.5	5353.21	9922.5	5343.701	9984.1	5353.461	9989.1	5336.556	10009	5343.376	9987.9	5337.653	10003	5338.819	9993.3	5339.439	9980.5	5340.219	10001	5332.549	10028	5329.924	10037	5329.326	10003
5397.428	9937.3	5391.81	9976.4	5398.807	9946.3	5391.848	9980.6	5390.52	9989.1	5380.174	9972.1	5386.633	9970.4	5387.275	9965.7	5388.186	9976.9	5377.571	10001	5388.282	9953.8	5390.036	9996.5	5375.591	10017	5378.907	9987.3	5383.736	9917.7	5374.011	9989.1	5383.791	9982.5	5366.834	10002	5373.662	9997.6	5367.949	9990.6	5369.113	9990.9	5369.765	9984.1	5370.514	9991.3	5362.758	10022	5360.111	10032	5359.579	10009
